LIS3DETR

Pin,Type,Name,Side
1,pwr,Vdd,top
2,nc,NC,right
3,nc,NC,right
4,input,SPC,left
5,gnd,GND,bottom
6,input,SDI,left
7,output,SDO,left
8,input,CS,left
9,bidirectional,INT2,right
10,gnd,RES,bottom
11,bidirectional,INT1,right
12,gnd,GND,bottom
13,input,ADC3,left
14,pwr,Vdd,top
15,input,ADC2,left
16,input,ADC1,left
